Id,Score
campisur,0.37
victorhbecerra,0.41
puliidooo,0.37
alexcarpizo,0.44
efemexico,0.29
ovejaelectrica_,0.31
loaruben,0.25
gutbesa,0.3
ed_sanchz,0.4
aristeguicnn,0.36
jinetedelpueblo,0.48
araimglez,0.26
anarent,0.32
everybodylies07,0.28
jorgegcastaneda,0.39
pcybomgdl,0.35
lisandroalgterr,0.39
prdmexico,0.31
circulovivo,0.44
rocioss,0.35
paolaglezelvir1,0.6
facosta100,0.54
hanysc,Null
gustavofuentesj,0.64
alexabreo22,0.58
noticiasenfasis,0.46
ghatto_blaster,Null
dio_rom,0.23
chivaspasioncom,0.37
miguelangelfdz,0.29
irreverent7,0.46
gobcdmx,0.37
msaavedrah1985,0.52
mizam82,0.34
palomaguillen,0.3
maelena06,0.44
24horasmx,Null
benavideslaw,0.33
jjpelonmoreno,0.32
rocioalcalag,0.38
pablohiriart,0.36
adnpolitico,0.41
brozoxmiswebs,0.47
ibfreyesn,0.52
bagesmabara3,0.29
arizzpersonaje,0.4
mauricioneblina,0.32
aaronarmando14,0.3
el_universal_mx,0.4
perezyoatzin,0.35
mileniojalisco,0.38
b4rnyzaurio,0.39
idaliasantos1,0.4
tigrrissimo,0.32
sancadillanorte,0.22
revistapolemon,0.48
oficialmorris,0.35
mimorelia,0.37
informador_mex,0.4
c_morales86,0.19
_lasnoticiasmty,0.3
joluisgarcia,0.21
doccarlosrd,0.25
capifuria,0.35
mercedesmejiab,0.3
ra_estrada,0.31
jaroiv,0.57
chavomorales2,0.4
javier_corral,0.34
lauricky,0.33
luis_larraga_03,0.34
aracelimontaez1,0.27
elsudcalif,0.4
noticias_21,0.44
poderag_tolmet,0.51
chivasjuarez,0.27
geriatra_1,0.32
hozafer,0.42
saidperezmartha,0.22
diariodfmx,0.56
melzedek,0.32
asambleadf,0.43
nssoaxaca,0.3
adrii_6277,0.11
blackfairy09,0.35
barbaracabrera,0.33
gobiernoedochih,0.39
ariz_monca,0.21
mario_oscar29,0.15
efektonoticias,0.37
siete24noticias,0.33
revistazocalo,0.37
raevinwhite,Null
deliha25,0.41
claudiorocca,0.19
luiscardenasmx,0.52
diputadosprd_,0.36
mundogodinez,0.34
animaldgalaxia,0.32
joulecorpse,0.12
leo1black,0.3
iqpoliticomx,0.32
senadoresprd,0.3
iruel000,0.34
_marbells,0.22
mt_regia71,0.28
nisa2906,0.42
ntmmxtoluca,Null
adnazteca,0.48
manuelclar,0.35
devoradonas,Null
bryantoriz1,0.23
mhsnoticias,0.33
reginav44434414,0.4
politicaspromex,0.63
zildjjianplayer,0.29
corrupcion_pri,0.41
maximihlian,0.28
gentehuehuetoca,0.36
oescalona,0.37
spaintyna,0.31
tequixquiac,0.32
ollinitza,0.43
sebastioqo,0.19
candres_23,0.32
gaborozcomx,0.18
parararers97,Null
n_kuitlahuak,0.28
prinacional,0.33
oficialrafaelb,0.31
moisesrosas,0.3
gperezepeda,0.23
eltopermx,0.47
martinsantome57,0.4
laverdadhidalgo,0.3
mario_ena,0.41
proadrianagora,0.44
econsulta_ver,0.54
laescribestu,0.44
rabia_axolotl,0.21
werosans,0.21
sakdra,0.26
yosoy132ffyl,0.23
hey_gab01,0.26
maurogonzalezpa,0.39
santhipolito,0.36
dragabbie,0.29
ftstation,0.44
rruizte,0.35
gobmx,0.39
mags_sp,0.37
earswoman,0.47
jicc76,0.36
teregro48,0.42
loremerodeador,0.28
luisadetroya,0.34
payas0_lrb_eap_,0.1
jossbotellos,0.56
manuel721127,0.37
cuaucalderong,0.36
pinara1,0.32
marcosotelo79,0.34
viclozanom,0.36
liizy_gtz,0.17
hardtony05,0.53
adrian3720111,0.58
petrobono,0.44
ernestogtz14,0.31
jpensamiento,0.28
agu_real,0.27
latraumaldita,0.48
mayab68,0.37
juliaalonso15,0.39
gobiernofacil,0.43
arquiebri0,0.23
auroraknox,0.27
jose_cheka,0.52
joeblack_18,0.4
marioxcode,0.28
unspacymex,Null
elmoteroisgreat,Null
imjust_mau,0.31
leunam_chiken,0.33
sergioleonmira1,0.34
11marbel,0.38
navarroisrael,0.54
janto111,0.33
soylanegrat,0.28
acervantesv,0.35
savoy_fb,0.28
ricardo_vgv,0.28
lagomet,0.41
calixtoboss,0.35
kemlisja,0.36
pam_lives,0.42
lilisaku,0.26
rebe_mq,0.44
dontriana,0.41
os_alanis,0.37
emilio_gamboa_,0.37
informador_dep,0.34
eemilyrrom_,0.26
mariade34828435,0.48
tuigualami,0.34
mundo_lga,0.42
discolocosgroup,0.31
rogeliopa,0.31
itzarestrepo,0.12
mariae12_7,0.2
carlosnajarraba,0.38
yoshgawen,0.31
joselop17273090,0.32
eduardolobito93,0.35
jeftesaurio,Null
ysak03,0.28
grupo_ap,0.33
ricardogr,0.11
fanysolis,0.24
adrenalina_exc,0.28
notigapemx,0.39
eltiotonysoy,0.35
buendia_tunel,0.35
planoinforma,0.44
vlartin,Null
proyectopuente,0.29
lucesdelsiglo,0.51
jrendone1,0.58
jane_hernandez5,0.41
genesiismm,0.24
carolantonioa,0.42
undiacomoleon,0.56
leonel_luna,0.46
mauriciotoledog,0.31
gv_gloria,0.23
abuelaram,0.36
70torinoman,0.43
votacuitlahuac,Null
elizabe79771561,0.32
mescartin,0.36
franperea9,0.39
aristotelessd,0.48
dav_moncada,0.34
ana_nanap,0.33
xpx_star,0.29
eir_prensa,Null
cristina_sada,0.39
duarteminap,0.36
oneamexico,0.43
visavi1001,0.37
adriandherz,0.4
jorgemanson,0.28
_marranogay,Null
soclmdiacom,0.42
frases_de_amlo,0.41
adler82mx,0.29
darthdemon_,0.13
vilyamgulyaev82,Null
claustarbright,0.49
surterchprack17,0.47
iker01,0.09
aideebarcenas,0.31
dumbledore1778,0.23
alerta_mexicoan,0.56
eddybook,0.29
bf9ac9bd3062424,0.28
somospri_,0.53
lemonikh,0.33
adiazpi,0.45
aguilarchedraui,0.25
jonathanes99,0.4
androramico,Null
vladimirovradi3,Null
ssp9630,0.34
thejohnmandrake,0.2
brenapolinarr,0.1
chapis_herrera,0.36
univisionsports,0.31
huber_sr,0.47
jols73,0.31
1950emilio,0.29
marcoluna7g,0.38
yanuariyavladi3,Null
eddieguerrero33,Null
moto_thor01,0.27
pierre22lara,0.34
sjanette39,0.47
lizar_reyes,0.52
lamitadmasuno17,0.4
joanaxx_,Null
quorum_mx,0.28
riccavi55,0.47
entera2mx,0.42
beto_rh6,0.42
susana_har,Null
bibivip,0.41
arkyfayerlord,0.46
heroz8rosas,0.37
alex_pega,0.3
adsoriano,0.13
pueblaonline,0.4
radioamlo,0.41
l_orv,0.39
julioluna__,0.27
melgibsonsite,0.49
a_zamorag,0.46
theobservador,0.26
dgs0010,0.38
drlorenzomeyer,0.4
josemeyeribarra,0.33
goliveros,0.43
tankerubio,0.34
eloccidental,0.29
uzyel07,0.27
xxsavier,0.43
aburtohdz,0.19
baccharis99,0.52
galvansecun,0.4
tigreceballos,0.52
flavio_oliverio,0.36
rm23ro,0.35
_sealionnn,0.2
angelesradio,0.31
marcehtam,0.29
06akmp,0.29
esastrer,0.23
zorroanonym,0.25
itam_mx,0.4
alfredojalifer_,Null
jasm_acker,0.34
informatyuc,0.51
renanbarrera,0.46
blasfemoaca,0.34
fugitivoxxx,0.41
manueltenedor,0.37
dingleberries72,0.25
donvix,0.29
pachekormz,Null
castelanemilio,0.44
yoonamiee,Null
albert_pastelin,0.25
alex_twit_,0.31
marulujan,0.41
miguelbtrevino,0.38
ceciluca,0.18
yustabeck,0.37
comcoparmex,0.53
junior_alexa7,0.39
alfredo_cb,0.34
lachica_beatle,0.46
gremorgado,0.3
hrrysyndrxme,Null
c0nvey,0.53
jarochopanman,0.42
formato7oficial,0.63
yoconyunes,0.34
elicheoeh,0.54
cajememac,0.58
manzuroficial,0.42
lucypapujoe,0.4
smilejaurwgui,0.37
israoficial,0.27
castro_molotov,0.34
hectormonteroo,0.38
isaiangel,0.21
roga5t1an,0.34
daviddelapaz,0.41
frankybofi,0.37
phanie_mm,0.46
emilioalvarezi,0.41
mdp0812,0.24
gusinisolano21,0.31
rodolfo22075630,0.34
johnnyiommi1808,0.42
estigiaed,0.49
betucla,0.38
david_herro,0.47
signa_lab,0.42
gilviesca,0.47
jhdezg,0.31
vickgonzalez78,0.25
carlosresendiz6,0.24
carlos_gerardo7,0.38
psskow,0.25
sopitas,0.38
guiesga,0.31
lanews_soc,0.46
quefishtv,0.3
vicmay2010,0.2
ayesisgod,0.32
mclarenrcf1,0.38
elsaort2807,0.54
eloycam2012,0.4
mario_vazquez_m,0.27
pagciudadana,0.33
jesus_246,0.43
ruthagui69,0.33
goswaldo,0.07
madaaii_,0.25
libertador_mx,0.34
ana_lizeme,0.35
iluminati_1717,0.24
kosimeraz,Null
josep9cito,0.36
eralbu,0.38
mreldiablo8,0.23
veromv58,0.37
mecheronquillo,0.44
davegallagher23,0.16
alesss,0.25
andreapridabay,0.58
jestradax,0.31
glo_arr,0.38
compajulia,0.37
fernande2,0.18
michael_ruwen,0.32
cristopher_jea,0.52
goodsquadmx,Null
aztekghost864,0.29
gerryregio,0.34
mrpaxeco,0.38
luis_gdl,0.46
vepabl0,0.36
mexicanoorg,0.19
elperroposmo,0.57
natchastarr,0.2
alexcaroln,0.15
alancontla,0.22
acontecernvaros,0.29
ajuaapuntocom,0.48
soy_un_clasico,0.37
hellderb,0.4
galancortes,0.17
dai17jpf,0.45
nibelungo33,0.35
clau_diahs,0.29
carlosloret,0.22
mimalafama,0.09
wintukfest,0.36
misskarrusel,0.4
wazowsky87,Null
clausmontesinos,0.24
migu_e210,0.21
juanguez,0.24
jesman1005,0.39
luiscruz1306,0.51
elmaldito_ego,Null
ironrasta_60,0.32
luisvilchisn,0.26
m_zamarripa,0.4
shaidellzazueta,0.27
arcoronado10,0.41
pakoleontv,0.32
mapimo2,0.42
hunhunapu_,0.27
danny_justagirl,0.2
quadratin_jal,0.45
shey_l0,0.43
rockdrigo_justo,0.12
alex_maldonados,0.33
joelsanradar,0.43
rojiblanco_izc,0.33
chiiou_,0.21
0303isela,0.42
alarconmerielle,0.37
radialtvcom,0.45
tnt_cock,0.22
ojuelos2010,0.53
trizas24,Null
lavozdedurango,0.4
svaroc,0.45
argelmoren,0.32
vanguardiavieja,0.34
mariogarduno,Null
totomx,0.4
luna_utopika,0.28
enlacepuebla,0.45
aleja_baez,0.25
poloespejel,0.34
dinorita,0.33
elmartinx,0.36
theguyintheg,0.2
valexamber,0.34
don_guajo,0.54
noticiasbasta,Null
yosh_mobol,0.16
lupispuma74,0.3
xadrimar_,Null
samcifuentesz,0.24
eduardoglez600,0.25
ramirezhelena,Null
luispazramirez2,0.46
talanoticias,0.5
antonimoral25,0.38
jesuserickcruza,0.32
timopeke,0.31
kittyeskitty,0.33
iunabrenn,0.22
alanmx11,0.34
valderrama077,0.46
guiller91337849,0.31
dr_wagner__jr,0.34
luis_rj96,0.27
heartless_tx,Null
fredyriveranmp,0.42
alfonchagar,0.34
juancherrerac,0.29
elsoldetijuana1,0.46
kdekarina_,0.31
susanbathory,0.44
gonzalezjluis,0.58
clau76mx,Null
msantillanf,0.44
revista_r,0.42
laroja_mx,0.52
freethinker2017,0.34
cidac,0.41
iam_paco,0.25
bruiser_brew,0.29
chavira_ivonne,0.42
a1xtreme,0.31
hansnuno,0.14
miguel_mex2010,0.41
earendilpan,0.26
jorgerdz07,0.16
ahuizotl70,0.32
francis35186234,0.44
aragorn04,0.38
nahum_h,0.23
ponibear,0.18
erendiritas,0.53
sorayona08,0.31
pc_ambienteqroo,0.49
greziad,0.35
josuetb2,0.35
sebas_tianduran,0.09
jlupegl,0.32
quetxalcoatl1,0.4
barbsbaby_xo,Null
lucrecialuque,0.37
_mariles93,0.24
sener_mx,0.33
un_divergente,0.34
nevidferrel,Null
neoespiriti,0.43
erikagiles19,0.52
chicodeltuiter,0.34
bernardo_001,0.27
pacoestrada1,0.3
madrigueradoc,0.33
josesanroman58,0.52
alamillacyn,0.18
mariy43,0.24
taeadoro,0.41
antoni_loz,0.07
leonardo11mx,0.34
sopaguada,0.23
pakoovr,0.43
santillanazo,0.43
huichapanseguro,0.45
lupexxeudave,0.22
angelcmtz,0.31
bagon89jose,0.56
vicgabval,0.46
ricardoplaza69,0.34
resendis_ruben,0.34
dkpt4,0.6
cmendozafleury,0.32
leonardgomezc,0.35
quitosbarrera,0.56
edritsu,0.66
jrm2406,0.31
chivajuan06,0.13
kkar2514,0.36
eresdelopiorr,0.24
ragash01,0.3
starbear69,0.31
miiguelmty,0.25
lectorbestial,0.33
jazzivelg,0.13
kreninazu,Null
centurymexico,0.35
farnem21,0.53
mayopaco,0.24
malenahj,0.45
anonymus2121,0.25
martinesprisci,0.34
gecesag,0.36
arcestaban,0.4
luzia_p159,Null
sexeniomx,0.28
anagraue1,0.4
vecino_azcatl,0.4
alexrocaoro1,0.6
ajacubo,0.41
robkentay,0.37
0marcresp0,Null
flavio6107roca,0.39
theblancadeluna,0.38
salomonpragma,0.43
antineoliberaly,0.3
elitanialopez,0.28
edithfotos,0.18
raulgasca,0.26
antitelevisamx,0.51
acevedom_h,0.3
revistaproceso,0.57
jos_diaz,0.16
elimparcialcom,0.35
lilfrijolita,Null
jrvende,0.47
proaxcorp,0.22
pumau_20,0.38
pepepaz9,0.33
stiqmas,Null
roberto92072862,0.43
alanfelix,0.14
roodimas7,0.58
ahtziricardenas,0.39
alegueris,0.21
joseantoniopia7,0.42
gdehoyoswalther,0.47
coparmex,0.38
dariocelise,0.46
cconvergentes,0.22
evaleticiad,0.33
imanrik,0.18
octaviogermano,0.4
abejapoblana,0.47
lacapital_,0.51
metrocdmx,0.4
gdlmetro,0.43
policiagdl,0.49
ormar2000,0.41
luferre,0.32
carlo_elcaro,0.25
patricialop68,0.37
zumiranda,0.16
perla_eteca,0.37
argos_rafael,Null
thefuckiingcap,Null
fdlegorreta,0.27
aldajaro_vargas,0.31
burbujita46,0.3
luis_cyf,0.48
alberto_avalosh,0.49
veronicalderon,0.26
alegarciamorlan,0.32
pacotaibo33,0.32
magomezpolanco,0.26
efraaiza,0.28
arelyvamo,0.7
manzanitagrunge,0.21
ragutz2,0.54
zombie_repelent,0.31
solociudadanos,0.32
diegodelunamx,0.37
celofanasanchez,0.38
edurneochoa,0.36
marianeria54,0.22
jackerbeat,Null
_manuelhb,0.28
accionnacional,0.4
ross20mg,0.28
jackyyy_27,0.28
salo_omega,0.24
dharmazul,0.29
cesar_herrerav,0.34
buscandounlider,0.25
cecevich,0.21
aristocrates38,0.52
rober_hernandez,0.35
alexpadre2014,0.34
maguiigarciar13,0.28
cortesbridgett,0.35
fanosie161,0.24
1903hega,0.33
vietnika69,0.22
luiscal09,0.32
horte132,0.52
bolarebel,0.1
ednnaaaaaa,0.43
anthonhii,0.24
alanponce_29,0.43
ferbelaunzaran,0.39
cam_lib,0.4
aspid99,0.35
19arti,0.18
lizarnajera,0.44
iliasolis,0.36
jhmm61,0.3
brawnmunguia,0.45
arana123,0.32
donpendejero,0.37
azaldivar_,0.41
rpizarrot,0.26
brizuela27_cone,0.37
jairpereira16,0.39
pepecoatl,0.46
posoyemaifren,0.46
saccharomyces82,Null
hulfi,0.29
luisgarnica90,Null
cgalixia,0.12
mooritha_dm,0.18
dastanh1h,0.25
raysa_bm,0.41
aleckz_islaz,0.42
alcantar732,Null
analili20004638,0.47
iquenefasto,0.32
dpazarin,0.48
v_nightryderb,0.34
_raulcortes,0.26
gurrutiar,0.27
sarasuadi_mv,0.36
javi_nolasquez,0.34
arianabazaldua1,0.25
paumontagud,0.3
jose_luis_cb,0.34
avdr_56,0.48
movimid,0.57
gugumagaa,0.33
anuarazar,0.42
sugarbaerry,0.22
edart,0.35
zucchiniblute,0.31
laizcallense,0.34
displasico,0.33
laualzua,0.47
tece77,0.31
luisesp43680876,Null
datagrave,0.23
tinnistapia,0.5
imagentvmex,0.39
oro_alex,0.31
gauchoveloz1,0.28
cambiomichoacan,0.4
zaratustraateo,0.44
vabigailha19,0.54
juanis08,0.37
atilaal100,0.38
melinalandazuri,0.27
ulisesrascon,0.34
serpico19,0.38
janetutis,0.18
fcomanuelbr,0.37
ferchoportillo,0.26
aliviics,0.42
vil_matraca,0.27
pedrocpp1c,0.43
angelespa1,0.43
hugocarlock,0.35
pepemontano,0.32
telesurenglish,0.53
miamava,0.25
danzysky,0.21
albsters16,0.39
izcallinotas,0.4
josephmkaiv,0.15
danna_zaldua,0.29
nelson_schloss,0.29
cynthiagonzz,Null
sinuh03,0.43
albermontmex,0.35
ively3,0.44
0725marycielo,0.39
itzelyta,0.53
andydanmtz,0.58
sayola1,0.26
lady_sky83,0.38
mrivanfigueroa,0.28
degenerativo,0.49
jorgelvazquezh,0.28
superalimentos,0.55
fjdtepoz,0.38
_elizabethpm,0.22
aguirre_almita,0.58
baez_gaby,0.43
morphorhetenor,Null
johnlo36732656,0.55
yetinuke,0.16
rv_nandayapa,0.25
ivanrock69,0.36
a01374948,0.46
_engdl,0.52
penceisgay,0.6785714285714286
tayloroterocamp,0.49
centralpuebla,0.46
lalo0095,0.29
fredolm,0.29
pavel25pk2,0.55
logismex,0.3
jgmvalero,0.35
hidalgodigitai,0.52
erlik02,0.31
spookyheathens,0.16
arq_lazaro,0.32
sophistyles1d,0.34
jfergaby,0.44
skriveregui,0.3
lord_olascoaga,0.25
djivanluna,0.33
homer1919,0.31
mirisacl,0.28
uacmita,0.36
lichogg,0.24
gmoax,0.25
dgineco,0.32
pp_moss,0.21
rododiaz_,0.16
joelramch,0.26
solo1ganzo,0.24
vittoria_cr,0.19
gabicita2308,0.23
chiomaldonado,0.29
tolukenmov,0.5
emmanuel_tc,0.25
hijodesuchin,0.37
solounviajero,0.68
salazzaralexxis,0.18
aldfmorena,0.35
raamongdl,0.18
alfonsoramram,0.41
isaacpl85,0.33
iolverac,0.54
estarronadamian,0.44
alexromeroayala,0.38
rafaels201,0.45
anibalkira,0.16
_alan_alexis,0.22
octavianomedin5,0.41
brochero_j,0.3625
sayuki_kisaragi,0.26
jav8169,0.44
onielyou,0.34
rigelitooow,0.24
cobitos100,0.5
armandopalomo,0.22
aggave23,0.3
villavicencio18,0.3
marcelafado,0.35
amegarces,0.34
pilarhe56306807,0.27
zocalovirtual,0.52
rolllaverge,0.44
jannekira,0.2
sofi_9461,0.36
ofe_rs,0.27
alfredererick,0.56
_mssaucedo,0.35
salazar_trejo,0.31
cesarpadillamc,0.42
mich_elle_boop,0.36
chiiaquii,0.36
sonypeortiz,0.41
sakumichuzz,0.37
mrcmz,0.52
saivilss,0.24
reporterocabron,0.34
mattmcdlls,0.23
chairotonaltek,0.41
blackrose0713,0.32
yurisharobledo,0.51
pililomeli,0.45
vichg99,0.33
alejandromclean,0.39
uvamimo,0.36
ale_barralesm,0.35
marianagc,0.29
mzavalagc,0.44
luisfrvncisco,0.05
lucifiree,0.26
asandovalnet,0.4
ar2077,0.39
ylujano,0.32
la_castanedaaaa,0.3
rociobunuelos,0.45
yosoymoomo,Null
tano_nieto,0.33
mor_en_lucha,0.32
derfamiliarmex,0.3
gotagussy,0.36
criss_mancity,0.4
pabloiq,0.44
m_formicador,Null
lucypinfranco,0.44
ojgaar_ojess,0.35
fernandomaba,0.28
mitchel_marie,Null
beere_fs,0.21
maobolio,0.32
alcalorpolitico,0.4
drchodrplik,Null
gabriel56888949,0.37
jcoliver007juan,0.28
svenstenka,0.51
alfredo73_j,Null
nalleli_esviv,0.29
eldump,0.2
danyboy7610,0.53
martin___rt,Null
paradoxeparadis,0.41
ginebra58384227,0.45
alejandrocj3,0.31
jorgecasique,0.17
_mrtweet_,Null
lauespejel,0.22
yummylovemexico,0.42
tapiafernanda,0.35
enlaindustrial,0.4
magiadee,0.47
cecibelr,0.32
somich915,0.44
guadalajaragob,0.49
hetements,Null
cerezo37,Null
jesusdominguez,Null
abraham_huerta7,Null
dama133,Null
mbarcenassotelo,Null
marisolmorin,Null
cvrb0n,Null
dpadron_noe,Null
almansini,Null
jerris200409,Null
xglahdehs,Null
joshaelrojas1,Null
meganoticiasdgo,Null
alor_daniel,Null
claudiiva,Null
corazonmateama,Null
figuis65,Null
summerdolls,Null
cabavash,Null
stellez85,Null
tereessaag,Null
bachingon29,Null
josafat_f,Null
ulissesavila,Null
sidneylopez59,Null
rdavidteran,Null
lox_mon,0.3
captnogt,0.29
edgarg290994,0.28
reymaldonado,0.25
martebusquets,0.28
carlosegarra,0.26
osauri,0.25
edd_nara,0.22
atlantista62,0.13
rmty_14,Null
hg_chaires,0.37
jmgarco,0.18
sandrareynoso16,0.48
pandaferoce,0.33
alejand170690,0.36
tdelarroz,0.18
cesobanda,0.31
antarafashion,0.3
optvnoticias,0.52
thealondranator,0.35
lurkan,0.34
punkeyesis,0.33
salvadojr,0.49
ram13mtz,0.28
gabgomezcruz,0.54
miss_nadie,0.2
aem99,0.24
justarcangel,0.24
haloframe,0.32
daxmultimedios,0.11
nooeliaaa_,0.2
sofia_hc,0.22
actualidadrt,0.43
manuelescalera,0.31
karamrlox,0.25
javos1969,0.28
anamabelq,0.22
melo58,0.27
salomonmecenas,0.28
molasar,0.4
vozabiertamx,0.38
cizte,0.21
vvegac,0.28
ramc2014,0.39
pinchemayko,0.21
gustavquinox,Null
simonfers1,Null
tetellobrayan,0.56
lola_lolx,Null
oscar_yanos,Null
mireya_ros1,Null
marygarcias1,0.53
pulidomar1,Null
perez_onia,Null
samyescobar333,Null
villanueva_viky,Null
solivetesolis,Null
tonocardex12,Null
rojaslidys1,Null
rdzallyson,Null
rinconalex5,Null
olivamar_y,Null
mora_moyolas,Null
mejia_car1,Null
maru_farfan,Null
martinezaldo7,0.57
jamartur12,Null
barraleslucy,Null
antuluigi1,Null
fdzubaldo,Null
erick_lpza,0.53
castromary7,Null
gaboquiron,Null
camacholuz3,Null
garciagamate,Null
florandys1,Null
fannyslas,Null
espinokarlaz1,Null
darwin_yoelx,Null
cuco_matz,Null
cortezalva3,Null
corameric,0.55
castimado1,Null
cano_silvac,Null
beto_mtz33,Null
patybeltra1,Null
orsaenrique8,0.43
yadiruquis,Null
pqvia7,0.25
sanu_rit,0.4
zonoka,0.31
aranzachavezesc,0.1
bere_morrison,0.23
ruidoenlared,0.35
de_galvan,0.28
luizbl_graana,0.16
hectorrenemonte,0.25
aligire,0.29
pollytzin,0.37
israel380_800,0.37
eusoumonfil,0.16
babisaleen,0.16
lasrardz,0.4
wtorres254,0.21
mbruzele,0.25
eduardoblanes,0.28
alvaradolecoco,0.23
crisgar123,0.41
dragalicia,0.34
erikaave,0.54
gustavo0_luis,Null
keillyvela,Null
fabianacesa,0.39
carmenm91057666,0.34
aldoalberti,0.38
geojacobo17,0.43
hoylosangeles,0.44
areli_esp,0.18
dante_cortes,0.26
elssie83,0.3
